,location_name,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,open_hours,category_tags,raw_visit_counts,raw_visitor_counts,visits_by_day,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,distance_from_home,median_dwell,bucketed_dwell_times,popularity_by_hour,popularity_by_day,device_type,normalized_visits_by_state_scaling,normalized_visits_by_total_visits,normalized_visits_by_total_visitors,normalized_visits_by_region_naics_visits,normalized_visits_by_region_naics_visitors,tier1,normalized_tier1,tier2,normalized_tier2,weekly_minutes_open,weekly_days_open,geometry,dist_to_charger
102,Teamworks Therapy,,Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340.0,41.914063,-111.81411,405 S 200 W,Richmond,UT,84333,,Physical Therapy,5,4,"[0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1]",490050001011,"{""490050001011"":4}","{""490050010022"":4,""490050001011"":4}",,10.0,"{'<5': 0, '5-10': 3, '11-20': 1, '21-60': 0, '61-120': 1, '121-240': 0, '>240': 0}","[0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0]","{""Monday"":1,""Tuesday"":0,""Wednesday"":1,""Thursday"":2,""Friday"":0,""Saturday"":1,""Sunday"":0}","{""android"":4,""ios"":0}",45.877751708833415,3.239184912239468e-07,8.486327677478814e-07,7.742814667988107e-05,0.000154659902873581,1,9.175550341766684,1,9.175550341766684,,,POINT (-111.81411 41.91406299999998),55463.73548487974
103,Vivint,,Electronics and Appliance Stores,Electronics Stores,443142.0,41.75796,-111.818069,1400 N 635 E,Logan,UT,84341,,"Home Automation,Security Systems",195,37,"[10,2,0,7,4,10,6,9,1,0,11,9,9,9,5,2,1,11,10,15,11,6,0,1,8,8,16,6,8,0]",490050004012,"{""490050014021"":6,""490039602001"":4,""490050007012"":4,""490050009001"":4,""490050006002"":4,""490050007022"":4,""490351128192"":4,""490050014012"":4}","{""490050004012"":4,""490351133073"":4,""490050001011"":4,""490050010022"":4,""490050007012"":4,""490050004011"":4,""490050008004"":4,""490050002022"":4}",5311.0,124.0,"{'<5': 2, '5-10': 17, '11-20': 10, '21-60': 36, '61-120': 31, '121-240': 34, '>240': 65}","[0,0,0,0,1,0,0,41,47,49,73,81,80,94,92,78,68,51,26,16,12,6,3,1]","{""Monday"":37,""Tuesday"":31,""Wednesday"":50,""Thursday"":32,""Friday"":38,""Saturday"":5,""Sunday"":2}","{""android"":18,""ios"":18}",1789.2323166445033,1.2632821157733924e-05,7.849853101667903e-06,0.0042035827459095,0.0080531923680515,130,1192.8215444296688,166,1523.1413567332695,,,POINT (-111.81806900000001 41.757960000000004),240.02189149813816
104,Smiths Pharmacy 477,,Health and Personal Care Stores,Pharmacies and Drug Stores,446110.0,41.745604,-111.832736,750 N Main St,Logan,UT,84321,,Medical Supplies,406,276,"[18,18,12,8,9,8,16,13,11,13,19,15,12,20,26,24,8,20,13,11,9,10,12,11,13,10,11,9,15,12]",490050006003,"{""490050004011"":9,""490050003004"":8,""490050005021"":8,""490050005013"":6,""490050004021"":6,""490050001011"":5,""490050003003"":5,""040120205022"":5,""490050010021"":5,""490050009002"":5,""490050002011"":5,""490050012012"":5,""490050008003"":5,""490050014022"":4,""490490102102"":4,""160419702003"":4,""490050008004"":4,""490050011023"":4,""490050014023"":4,""490050002024"":4,""490050006004"":4,""490050004032"":4,""490050010012"":4,""490050004034"":4,""261390212023"":4,""490532718001"":4,""490039603005"":4,""490050005011"":4,""490050010023"":4,""490050014012"":4,""490050005022"":4,""490050011022"":4,""490039601002"":4,""490050002012"":4,""490050010024"":4,""490050014013"":4,""490050008001"":4,""490490102162"":4,""490050002022"":4,""490111257022"":4,""490050007012"":4,""490050006002"":4,""490050007013"":4,""160419701004"":4,""490050005014"":4,""490050004012"":4,""490050011021"":4,""490050002023"":4,""490050007022"":4,""490050014021"":4,""490050011012"":4,""490050010011"":4,""490050007023"":4}","{""490050004011"":11,""490050003003"":9,""490050003004"":9,""490050010024"":9,""490050012013"":9,""490050014022"":8,""490050008003"":7,""490050004012"":7,""490050014023"":7,""490050008001"":6,""490050005022"":6,""490050004021"":6,""490050011022"":5,""490050010023"":5,""490039603005"":5,""490050012022"":5,""490050011011"":5,""490050006001"":5,""490050006004"":4,""160419702001"":4,""490050007013"":4,""490050009002"":4,""490050002011"":4,""490050013002"":4,""490050007012"":4,""490050012012"":4,""160419701002"":4,""490050005012"":4,""490050002023"":4,""490050010012"":4,""490490101044"":4,""490050011023"":4,""261390212023"":4,""160419701004"":4,""490039601002"":4,""490050005013"":4,""490490103032"":4,""040130506051"":4,""490050014012"":4,""490050006002"":4,""490050001013"":4,""060379010081"":4,""490050012011"":4,""490050005014"":4,""490050006005"":4,""490050014011"":4,""490050014021"":4,""490050005011"":4,""490050006003"":4,""490050002012"":4,""490050007022"":4,""490039603006"":4,""490050005021"":4,""490050001012"":4,""490050002022"":4}",5160.0,16.0,"{'<5': 10, '5-10': 127, '11-20': 109, '21-60': 86, '61-120': 22, '121-240': 17, '>240': 35}","[2,3,3,3,6,8,10,23,36,48,60,63,67,68,61,72,58,45,43,37,20,16,16,2]","{""Monday"":60,""Tuesday"":47,""Wednesday"":42,""Thursday"":54,""Friday"":82,""Saturday"":77,""Sunday"":44}","{""android"":191,""ios"":83}",3725.2734387572737,2.630218148738448e-05,5.855566097460382e-05,0.0019597810451521,0.0031999243367644,74,678.9907252907346,160,1468.0880546826693,,,POINT (-111.832736 41.74560399999999),3964.237847956156
105,PacifiCorp Oneida Plant,,"Electric Power Generation, Transmission and Distribution",Fossil Fuel Electric Power Generation,221112.0,42.267783,-111.748525,Oneida Narrows Road,Riverdale,ID,83263,,Industrial,34,1,"[0,0,0,0,1,2,3,3,1,2,1,2,2,2,0,0,0,0,0,0,0,0,2,3,3,2,2,1,2,0]",160419701001,{},{},,83.5,"{'<5': 0, '5-10': 1, '11-20': 2, '21-60': 10, '61-120': 9, '121-240': 7, '>240': 5}","[0,0,0,0,0,0,5,17,16,9,5,8,10,7,10,10,2,3,0,0,0,0,0,0]","{""Monday"":4,""Tuesday"":5,""Wednesday"":6,""Thursday"":6,""Friday"":5,""Saturday"":3,""Sunday"":5}","{""android"":0,""ios"":0}",292.5029172572601,3.7118771115395054e-06,3.576037828758568e-07,0.01788532351394,0.0492040520984081,21,180.66356654124888,31,266.69383632279596,,,POINT (-111.748525 42.267782999999994),185418.8539098055
106,Willow Park,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190.0,41.716708,-111.849451,W 700 S,Logan,UT,84321,"{'Mon': [['9:00', '18:00']], 'Tue': [['9:00', '18:00']], 'Wed': [['9:00', '18:00']], 'Thu': [['9:00', '18:00']], 'Fri': [['9:00', '18:00']], 'Sat': [['9:00', '18:00']], 'Sun': []}",Playground,489,263,"[23,28,23,13,11,15,31,24,25,13,13,3,6,5,11,16,16,20,8,13,23,12,24,22,14,9,21,21,9,17]",490050010011,"{""490050003004"":15,""490050010011"":12,""490050004011"":10,""490050010023"":10,""490050012022"":9,""490050005021"":8,""490050005022"":7,""490050012021"":6,""490050003003"":6,""490050009003"":6,""490050012011"":5,""490039603005"":5,""160659505001"":5,""490039602003"":5,""490050013002"":5,""490050013003"":5,""490050008003"":5,""490050006004"":5,""490111254051"":4,""490050010022"":4,""490050011021"":4,""490050007022"":4,""490111268013"":4,""490050011013"":4,""490039605004"":4,""490050001012"":4,""490050010012"":4,""490050005013"":4,""490050012012"":4,""490050002012"":4,""490050004033"":4,""490050010021"":4,""490039605001"":4,""490490101053"":4,""490532710001"":4,""490111257023"":4,""490050014011"":4,""490050002022"":4,""490039602002"":4,""490050002024"":4,""490050013001"":4,""490050005014"":4}","{""490050003004"":16,""490050010023"":15,""490050004011"":9,""490050012022"":9,""490050010011"":8,""490050005021"":8,""490050008002"":7,""490050013001"":6,""490050008003"":6,""490050003003"":5,""560419752003"":5,""490050012012"":5,""490050002012"":5,""490039602005"":4,""490050006003"":4,""490050010022"":4,""490050014011"":4,""490351151061"":4,""490490101053"":4,""490039604002"":4,""160419701005"":4,""490050013003"":4,""490050002024"":4,""490039603001"":4,""490050011013"":4,""490050015002"":4,""490050009003"":4,""490050015001"":4,""160659505001"":4,""490050012021"":4,""490050005022"":4,""490050012011"":4,""490050014021"":4,""490039605004"":4,""490050003002"":4,""490050009001"":4,""490050010012"":4,""490351014003"":4,""490111259061"":4,""490050013002"":4,""490111253032"":4,""490050001013"":4,""490050002022"":4,""290614702003"":4,""490050014022"":4,""490050011011"":4,""490039602003"":4,""490039605003"":4,""490050010024"":4,""490050007022"":4,""160419701003"":4,""490572001003"":4,""490490005062"":4,""490572003001"":4,""490050005013"":4,""160419702004"":4,""490572105081"":4}",5387.0,28.0,"{'<5': 7, '5-10': 106, '11-20': 83, '21-60': 167, '61-120': 75, '121-240': 35, '>240': 16}","[12,9,9,10,8,7,7,17,19,27,43,63,86,100,99,95,79,79,57,53,34,17,11,13]","{""Monday"":60,""Tuesday"":31,""Wednesday"":55,""Thursday"":80,""Friday"":79,""Saturday"":110,""Sunday"":74}","{""android"":151,""ios"":112}",4486.844117123908,3.167922844170199e-05,5.57976044794232e-05,0.0005107631051472178,0.0011183661334034,126,1156.1193430626022,293,2688.436250137638,3240.0,6.0,POINT (-111.849451 41.71670799999998),4834.180323663316
107,MOONLIGHT DIESEL INC,International Trucks,Automobile Dealers,New Car Dealers,441110.0,41.792778,-111.831936,3280 N Main St,Hyde Park,UT,84341,,,25,20,"[0,0,0,1,0,1,1,2,0,0,1,0,0,1,4,0,0,5,1,1,2,0,0,0,2,0,0,0,3,0]",490050004032,"{""160719601002"":7,""490050002012"":4,""490050001013"":4,""490050002011"":4,""490050004034"":4}","{""490050004034"":4,""490050002022"":4,""490050004032"":4,""490050002012"":4}",5371.0,9.0,"{'<5': 0, '5-10': 17, '11-20': 3, '21-60': 5, '61-120': 0, '121-240': 0, '>240': 0}","[0,0,0,0,0,0,0,1,4,1,3,1,3,1,4,5,2,2,1,0,0,0,0,1]","{""Monday"":9,""Tuesday"":1,""Wednesday"":2,""Thursday"":4,""Friday"":9,""Saturday"":0,""Sunday"":0}","{""android"":11,""ios"":10}",229.3887585441671,1.6195924561197337e-06,4.243163838739407e-06,0.00024509803921568627,0.0004980972684345799,0,0.0,5,45.877751708833415,,,POINT (-111.831936 41.79277800000001),11517.763202950313
108,Cache Valley Community Health Center,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330.0,41.713836,-111.837163,944 S State Highway 89,Logan,UT,84321,"{'Mon': [['8:30', '18:30']], 'Tue': [['8:30', '18:30']], 'Wed': [['8:30', '18:30']], 'Thu': [['8:30', '18:30']], 'Fri': [['8:30', '18:30']], 'Sat': [], 'Sun': []}",Mental Health,31,24,"[1,0,0,1,3,1,2,2,1,0,0,2,0,0,1,0,1,0,2,0,2,3,3,0,0,2,1,2,1,0]",490050011011,"{""490050010011"":5,""490111251022"":4,""490050001021"":4}","{""490050013001"":6,""490050004032"":4,""490050011011"":4,""490050012021"":4,""490039601002"":4,""490050014011"":4,""490050010011"":4,""490572112022"":4,""490050012022"":4}",11693.0,20.0,"{'<5': 0, '5-10': 12, '11-20': 4, '21-60': 10, '61-120': 1, '121-240': 2, '>240': 2}","[1,0,0,0,0,0,2,3,4,3,4,13,10,3,5,4,4,4,0,2,0,0,0,0]","{""Monday"":1,""Tuesday"":9,""Wednesday"":2,""Thursday"":6,""Friday"":8,""Saturday"":4,""Sunday"":1}","{""android"":10,""ios"":13}",284.4420605947672,2.00829464558847e-06,5.091796606487289e-06,0.0004800545094152626,0.0009588913978162022,5,45.877751708833415,15,137.63325512650025,3000.0,5.0,POINT (-111.837163 41.713836),2799.3567829178714
109,Cache High,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110.0,41.758204,-111.840899,265 W 1400 N,Logan,UT,84341,,,36,17,"[4,3,2,2,0,0,1,5,1,3,0,0,0,1,0,2,1,1,1,0,1,0,1,0,0,0,4,0,1,2]",490050005021,"{""490050005021"":4,""490050010024"":4,""490050002022"":4}","{""490050002024"":4,""490050005021"":4,""490050005022"":4}",7720.0,8.0,"{'<5': 1, '5-10': 20, '11-20': 1, '21-60': 7, '61-120': 1, '121-240': 2, '>240': 4}","[3,3,2,2,2,1,1,4,3,5,5,2,3,5,5,4,3,8,5,2,2,2,4,3]","{""Monday"":3,""Tuesday"":1,""Wednesday"":4,""Thursday"":3,""Friday"":10,""Saturday"":9,""Sunday"":6}","{""android"":7,""ios"":0}",330.3198123036006,2.3322131368124165e-06,3.606689262928496e-06,6.41471107072219e-05,0.00030363091974866107,7,64.22885239236679,14,128.45770478473358,,,POINT (-111.840899 41.75820399999999),3388.9155244231592
110,M2X Digital Solutions,,"Management, Scientific, and Technical Consulting Services",,5416.0,41.841367,-111.808993,249 N 880 E,Smithfield,UT,84335,,"Business Consulting,Marketing,Web Design",25,2,"[3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5,2,2,2,1,1,1,0,0,0,0,0,0,0]",490050002024,{},{},,406.0,"{'<5': 0, '5-10': 0, '11-20': 0, '21-60': 3, '61-120': 3, '121-240': 3, '>240': 16}","[11,11,11,11,11,11,11,9,8,7,3,6,8,7,8,9,9,7,8,8,8,9,11,11]","{""Monday"":2,""Tuesday"":2,""Wednesday"":2,""Thursday"":1,""Friday"":5,""Saturday"":7,""Sunday"":6}","{""android"":4,""ios"":0}",229.3887585441671,1.6195924561197337e-06,4.243163838739407e-07,0.0059552167698904,0.0181950509461426,22,201.86210751886705,25,229.3887585441671,,,POINT (-111.808993 41.84136699999999),29156.54262375817
111,Jenson Books,,Book Stores and News Dealers,Book Stores,451211.0,41.764208,-111.862517,1189 W 1700 N Ste 100,Logan,UT,84321,,Books,106,26,"[8,0,0,7,4,6,7,5,1,0,7,3,5,6,4,1,0,5,2,5,3,4,0,0,8,3,4,6,2,0]",490050003003,"{""160659503015"":4,""490050011013"":4,""490050004031"":4,""490490032012"":4,""490050005021"":4,""490050014013"":4,""320030032313"":4}","{""490050014013"":5,""490050003003"":4,""320030032313"":4,""490490104061"":4,""490050006004"":4,""490050007022"":4,""490050005021"":4}",19723.0,137.0,"{'<5': 0, '5-10': 14, '11-20': 5, '21-60': 8, '61-120': 17, '121-240': 38, '>240': 24}","[0,1,1,0,0,0,23,23,23,33,35,35,18,29,22,37,29,13,13,13,0,0,0,0]","{""Monday"":27,""Tuesday"":12,""Wednesday"":20,""Thursday"":22,""Friday"":23,""Saturday"":2,""Sunday"":0}","{""android"":14,""ios"":9}",972.6083362272684,6.867072013947671e-06,5.516112990361229e-06,0.003153635606331,0.0044349608802978,79,724.868476999568,87,798.2728797337015,,,POINT (-111.86251700000001 41.764208),9640.871806483425
112,US Army Career Center Logan UT,,"Museums, Historical Sites, and Similar Institutions",Historical Sites,712120.0,41.75817,-111.830461,165 E 1400 N Ste A 4,Logan,UT,84341,"{'Mon': [['9:00', '19:00']], 'Tue': [['9:00', '19:00']], 'Wed': [['9:00', '19:00']], 'Thu': [['9:00', '19:00']], 'Fri': [['9:00', '15:00']], 'Sat': [], 'Sun': []}",,280,107,"[8,1,0,10,8,12,12,11,13,2,13,13,15,13,12,4,0,11,12,15,11,16,3,0,11,9,13,14,13,5]",490050004011,"{""490050005022"":6,""490050004031"":5,""490050004011"":5,""490050002022"":5,""490050012022"":4,""490050007012"":4,""490050012021"":4,""490050014012"":4,""490050008003"":4,""490050006001"":4,""490050002023"":4,""490050004012"":4,""490050010021"":4,""490050013001"":4,""490050004032"":4,""160419701005"":4,""490050007022"":4,""490050011011"":4,""490572009002"":4,""490050012013"":4,""490050006006"":4,""490050001021"":4,""490050004033"":4,""490351032003"":4,""490050005014"":4,""490050003002"":4}","{""490050004011"":11,""490050013002"":5,""490050007012"":4,""490050012021"":4,""490050005021"":4,""490050007022"":4,""490050002022"":4,""490050004022"":4,""490050006003"":4,""160419702004"":4,""490050002023"":4,""490050011011"":4,""490050011013"":4,""490050002012"":4}",7407.0,55.0,"{'<5': 3, '5-10': 32, '11-20': 16, '21-60': 98, '61-120': 56, '121-240': 49, '>240': 26}","[1,1,1,1,0,13,5,18,32,74,95,83,70,59,69,68,62,37,18,15,6,2,0,0]","{""Monday"":45,""Tuesday"":42,""Wednesday"":55,""Thursday"":50,""Friday"":60,""Saturday"":26,""Sunday"":2}","{""android"":49,""ios"":56}",2569.1540956946715,1.8139435508541014e-05,2.2700926537255827e-05,0.00029246149169983844,0.000640373246120596,131,1201.9970947714355,229,2101.2010282645706,2760.0,5.0,POINT (-111.830461 41.75816999999999),740.8364960466461
113,Poulsen Family Cemetery,,Death Care Services,Cemeteries and Crematories,812220.0,41.763404,-112.009322,7600 West And West 2000 North,Peter,UT,84325,,,1,1,"[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",490050013001,{},{},,8.0,"{'<5': 0, '5-10': 1, '11-20': 0, '21-60': 0, '61-120': 0, '121-240': 0, '>240': 0}","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0]","{""Monday"":0,""Tuesday"":0,""Wednesday"":0,""Thursday"":0,""Friday"":1,""Saturday"":0,""Sunday"":0}","{""android"":0,""ios"":0}",9.175550341766684,6.478369824478935e-08,2.1215819193697037e-07,2.696435312516853e-05,5.321696556862328e-05,0,0.0,0,0.0,,,POINT (-112.009322 41.763404000000016),48269.0041313353
114,Shell Oil,Shell Oil,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,42.016898,-111.804719,2 N State St,Franklin,ID,83237,"{'Mon': [['0:00', '24:00']], 'Tue': [['0:00', '24:00']], 'Wed': [['0:00', '24:00']], 'Thu': [['0:00', '24:00']], 'Fri': [['0:00', '24:00']], 'Sat': [['0:00', '24:00']], 'Sun': [['0:00', '24:00']]}","Oil Changes,Propane",398,238,"[10,9,7,12,13,14,11,14,20,18,11,10,14,9,17,15,17,13,9,11,19,13,18,13,19,11,13,9,16,13]",160419702005,"{""160419702004"":16,""160419702001"":15,""160419702003"":14,""490050001011"":8,""160419701002"":7,""160419701003"":6,""490050003003"":5,""160050004002"":4,""490572107012"":4,""490050009002"":4,""490050003004"":4,""490572104022"":4,""490050010011"":4,""490050011013"":4,""490572107031"":4,""490050012011"":4,""490351139032"":4,""160419701005"":4,""060710020103"":4,""490050014011"":4,""490050002021"":4,""490572112013"":4,""490050005013"":4,""490050008003"":4,""490050004011"":4,""490050014012"":4,""490351131013"":4,""490351033001"":4,""160050003004"":4,""490050003001"":4,""490039604003"":4,""490351130191"":4,""160419701004"":4,""490572103032"":4,""490050003002"":4,""490572011001"":4,""490050012022"":4,""160419702005"":4,""490050001012"":4,""490050002022"":4,""490050005022"":4}","{""160419702004"":14,""160419701003"":12,""490050002022"":9,""160419702001"":8,""160419702003"":8,""490050014021"":7,""490050015002"":6,""490050003003"":5,""490050001021"":5,""160419701002"":5,""490050004011"":5,""490050006004"":4,""490572107012"":4,""490050002012"":4,""490039603005"":4,""490050002023"":4,""490050001012"":4,""160419701005"":4,""160419702005"":4,""490572109002"":4,""490111253033"":4,""490050011011"":4,""160079502003"":4,""490050005022"":4,""490050003004"":4,""490050003002"":4,""490050001011"":4,""490050001022"":4,""490111258051"":4,""490111254052"":4,""160050003004"":4,""160419701004"":4,""160079501004"":4,""490050003001"":4,""490050014011"":4,""490050002021"":4,""490050014022"":4,""490050010022"":4,""490050002024"":4,""160010104013"":4,""490050001013"":4,""490050011021"":4}",29646.0,10.0,"{'<5': 33, '5-10': 188, '11-20': 40, '21-60': 56, '61-120': 17, '121-240': 26, '>240': 38}","[0,0,0,1,2,18,36,36,40,46,51,69,64,80,62,75,64,45,28,21,17,15,4,1]","{""Monday"":55,""Tuesday"":43,""Wednesday"":52,""Thursday"":48,""Friday"":70,""Saturday"":75,""Sunday"":55}","{""android"":133,""ios"":106}",3424.004737305575,4.3450796776256565e-05,8.51097003244539e-05,0.0010925211710289,0.0017640671054672,81,696.8451852305316,137,1178.6146960071953,10080.0,7.0,POINT (-111.80471900000002 42.016898),93017.94791497305
115,Richmond Fire Department,,"Justice, Public Order, and Safety Activities",Fire Protection,922160.0,41.922066,-111.807379,40 E Main St,Richmond,UT,84333,"{'Mon': [['0:00', '24:00']], 'Tue': [['0:00', '24:00']], 'Wed': [['0:00', '24:00']], 'Thu': [['0:00', '24:00']], 'Fri': [['0:00', '24:00']], 'Sat': [['0:00', '24:00']], 'Sun': [['0:00', '24:00']]}",Fire Protection,11,7,"[1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0]",490050001011,"{""490351126181"":4}","{""490050002011"":4}",20941.0,10.0,"{'<5': 1, '5-10': 6, '11-20': 1, '21-60': 2, '61-120': 1, '121-240': 0, '>240': 0}","[0,0,0,0,0,0,0,0,0,2,2,3,1,1,2,0,0,0,0,0,1,1,1,1]","{""Monday"":2,""Tuesday"":0,""Wednesday"":0,""Thursday"":0,""Friday"":1,""Saturday"":4,""Sunday"":4}","{""android"":4,""ios"":4}",100.93105375943352,7.126206806926828e-07,1.4851073435587923e-06,0.0003113060704683741,0.000976389135451802,1,9.175550341766684,3,27.52665102530005,10080.0,7.0,POINT (-111.807379 41.922066),58477.584004945325
116,Logan Fire Department Station 71 Hillcrest,,"Justice, Public Order, and Safety Activities",Fire Protection,922160.0,41.750824,-111.803019,1244 E 1100 N,Logan,UT,84341,"{'Mon': [['0:00', '24:00']], 'Tue': [['0:00', '24:00']], 'Wed': [['0:00', '24:00']], 'Thu': [['0:00', '24:00']], 'Fri': [['0:00', '24:00']], 'Sat': [['0:00', '24:00']], 'Sun': [['0:00', '24:00']]}",Fire Protection,55,31,"[0,7,1,3,3,1,1,1,0,2,1,1,3,3,5,3,1,3,2,2,1,0,3,1,0,1,0,0,2,4]",490050007012,"{""490050007012"":11,""160010103321"":4,""490050006002"":4,""490050006004"":4,""490050008003"":4,""490050007022"":4,""490351018001"":4}","{""490050007012"":11,""490351018001"":4,""490050002022"":4,""490050006004"":4,""490039605003"":4}",1112.0,19.0,"{'<5': 3, '5-10': 21, '11-20': 4, '21-60': 8, '61-120': 8, '121-240': 5, '>240': 6}","[7,6,5,6,4,2,2,2,5,5,7,3,3,5,7,5,2,6,9,11,12,11,6,6]","{""Monday"":7,""Tuesday"":7,""Wednesday"":6,""Thursday"":5,""Friday"":8,""Saturday"":17,""Sunday"":5}","{""android"":21,""ios"":11}",504.6552687971676,3.5631034034634143e-06,6.576903950046081e-06,0.0015565303523418,0.004881945677259,19,174.335456493567,27,247.73985922770046,10080.0,7.0,POINT (-111.803019 41.75082400000001),2267.8872155148333
117,Wilson Ford,"Nissan,Lincoln,Ford Motor Company",Automobile Dealers,New Car Dealers,441110.0,41.737545,-111.833821,328 N Main St,Logan,UT,84321,"{'Mon': [['9:00', '18:00']], 'Tue': [['9:00', '18:00']], 'Wed': [['9:00', '18:00']], 'Thu': [['9:00', '18:00']], 'Fri': [['9:00', '18:00']], 'Sat': [['8:00', '17:00']], 'Sun': []}",,164,135,"[10,4,2,6,3,1,4,13,7,4,10,6,8,4,6,3,0,6,8,6,6,2,8,0,6,6,6,5,9,5]",490050008003,"{""490050001012"":8,""490050004032"":7,""490039603004"":5,""490050014022"":5,""490050004011"":5,""490050009001"":4,""490050010023"":4,""490050002012"":4,""490050002022"":4,""490050004033"":4,""490050007023"":4,""490050006004"":4,""490050013002"":4,""490050011011"":4,""490050004034"":4,""490050005014"":4,""490050007022"":4,""490050014021"":4,""490050011021"":4,""490111264041"":4,""490111255023"":4,""490050012022"":4,""490050015002"":4,""490532714003"":4,""490050013003"":4,""490050002023"":4,""490050014011"":4,""490050002021"":4,""490050012013"":4,""160419701005"":4,""170318041082"":4,""490039602003"":4,""490050007011"":4}","{""490050004011"":9,""490050012022"":7,""490050011011"":5,""170318041082"":4,""490050010011"":4,""490050010022"":4,""160419702003"":4,""490050012021"":4,""490050012012"":4,""490572002021"":4,""490050002022"":4,""490050001021"":4,""490050005013"":4,""490111255022"":4,""490050014021"":4,""490050015002"":4,""490050014012"":4,""490351128124"":4,""490039603003"":4,""490050007012"":4,""490050011012"":4,""530330319073"":4,""490050014022"":4,""490050004032"":4,""490050011021"":4,""490050003002"":4,""490050004012"":4,""490050001012"":4,""490050007011"":4,""490050007022"":4,""490050005014"":4}",11620.0,13.0,"{'<5': 6, '5-10': 67, '11-20': 35, '21-60': 42, '61-120': 10, '121-240': 2, '>240': 2}","[3,2,1,1,1,1,1,3,12,14,27,29,21,16,19,21,16,17,8,9,4,2,3,4]","{""Monday"":28,""Tuesday"":23,""Wednesday"":21,""Thursday"":19,""Friday"":40,""Saturday"":27,""Sunday"":6}","{""android"":83,""ios"":52}",1504.7902560497362,1.0624526512145452e-05,2.8641355911491e-05,0.0016078431372549,0.0032675180809308,14,128.45770478473358,56,513.8308191389343,3240.0,6.0,POINT (-111.833821 41.73754500000001),1156.045094607598
118,Computer Station,,Electronics and Appliance Stores,Electronics Stores,443142.0,41.764497,-111.848456,1772 N 600 W,Logan,UT,84321,,Computers,99,36,"[3,0,0,6,7,8,3,4,0,0,7,3,3,4,2,1,0,9,4,2,7,4,0,0,3,5,7,3,4,0]",490050005021,"{""490050005022"":4,""490111255011"":4,""490050001022"":4,""490039605001"":4,""490050001012"":4}","{""490351120012"":4,""160419701002"":4,""490050002011"":4,""160079502003"":4,""490050010023"":4,""490050003002"":4,""490050010022"":4,""490490101061"":4,""490050014021"":4}",14519.0,126.0,"{'<5': 1, '5-10': 17, '11-20': 8, '21-60': 16, '61-120': 7, '121-240': 24, '>240': 26}","[1,0,0,0,0,0,9,11,39,44,41,41,40,40,36,43,41,26,1,0,0,0,1,1]","{""Monday"":25,""Tuesday"":19,""Wednesday"":20,""Thursday"":17,""Friday"":17,""Saturday"":1,""Sunday"":0}","{""android"":20,""ios"":17}",908.3794838349016,6.413586126234146e-06,7.637694909730932e-06,0.0021341266248464,0.0040885438176261,57,523.006369480701,73,669.8151749489679,,,POINT (-111.848456 41.764497),6112.502437788609
119,United States Postal Service (USPS),United States Postal Service (USPS),Postal Service,Postal Service,491110.0,42.037076,-111.981146,77 W Depot St,Weston,ID,83286,"{'Mon': [['0:01', '23:59']], 'Tue': [['0:01', '23:59']], 'Wed': [['0:01', '23:59']], 'Thu': [['0:01', '23:59']], 'Fri': [['0:01', '23:59']], 'Sat': [['0:01', '23:59']], 'Sun': []}",,12,9,"[0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0]",160419701004,"{""490159763001"":4,""160419701004"":4,""160419702001"":4}","{""160719601001"":4,""160419701004"":4,""160419702001"":4}",666.0,9.0,"{'<5': 0, '5-10': 7, '11-20': 1, '21-60': 1, '61-120': 1, '121-240': 1, '>240': 1}","[1,1,0,1,1,1,0,0,0,1,1,0,0,0,3,1,1,2,2,2,1,1,1,1]","{""Monday"":0,""Tuesday"":2,""Wednesday"":4,""Thursday"":2,""Friday"":3,""Saturday"":0,""Sunday"":1}","{""android"":9,""ios"":0}",103.23632373785654,1.310074274661002e-06,3.218434045882711e-06,0.001034839599862,0.0021786492374727,3,25.809080934464134,4,34.41210791261884,8628.0,6.0,POINT (-111.981146 42.037076000000006),109166.10808986185
