GEOID,city,county_name,county_fips,state_code,state_fips,state,cbsa_number,cbsa_name,DAC_status,population,lowincome_ami_pct,over64_pct,disability_pct,lessHS_pct,nongrid_heat_pct,uninsured_pct,linguistic_isolation_pct,mobile_home_pct,incomplete_plumbing_pct,renters_pct,single_parent_pct,unemployed_pct,lead_paint_pct,no_car_pct,no_internet_pct,over_30min_commute_pct,lowincome_fpl_pct,avg_housing_burden,job_access,avg_transport_burden,unhoused_pct,avg_energy_burden,fossil_emp_rank,coal_emp_rank,grid_outages_county,grid_outage_duration,fema_loss_of_life,green_space,food_desert_pct,ej_diesel,ej_cancer,ej_traffic,ej_water,ej_npl,ej_remediation,ej_tsdf,ej_pm25
49011125403,Syracuse,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,14505,0.102994012,0.068321269,0.088511055,0.039172874,0.019932695,0.016192071,0,0,0,0.095984465,0.108903867,0.015948474,0.029510743,0.005953922,0.044524981,0.423630137,0.148717236,23.3,-0.8,27,0.874905372,2,0.001384633,0.000858985,0,0,71.00180096,-2,1,0.184025,22.42073059,101.9256454,6138.341127,0.119914802,0.702050856,0.468104978,7.610503552
49011126305,Centerville,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,2524,0.090146751,0.189381933,0.077411671,0.022627278,0,0.063517269,0,0,0,0.053486529,0.11,0.025974026,0.286493861,0.012278308,0.031377899,0.250996016,0.127971474,36.5,-3,26,0.003882581,2,0.001384633,0.000858985,0,0,51.06614058,0,1,0.278873983,20.61190675,16.61764772,1.36835E-05,0.54780068,0.404592695,0.841568287,7.943038525
49011125801,Layton,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,7690,0.296350365,0.095318596,0.120678236,0.11068611,0.011773363,0.128626308,0.027961737,0.070141066,0,0.445402299,0.294146581,0.024462366,0.049300957,0.042310522,0.101545254,0.291479821,0.412095089,29.8,-4.2,22,0.003882581,2,0.001384633,0.000858985,0,0,79.27521687,-2,1,0.659321956,25.01359744,1351.957733,0,0.191532788,2.907218203,0.541378768,8.48697623
49011126002,Layton,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6967,0.096153846,0.048227358,0.070747906,0.021792427,0.012412304,0.03898354,0,0,0,0.0723722,0.075444324,0.027760449,0.177549919,0.023205613,0.05288721,0.367931281,0.169369887,36.8,-1.4,26,0.003882581,2,0.001384633,0.000858985,0,0,75.63342911,-2,1,0.595405229,24.67481281,78.62668222,0,0.12434579,2.608488468,0.151498264,8.436309563
49011126304,Centerville,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6719,0.046396023,0.11221908,0.084227788,0.022955524,0,0.025044723,0,0,0.008232446,0.09525227,0.114652712,0.035479256,0,0.016949153,0.042615012,0.349634065,0.124572109,31.2,-2.3,26,0.003882581,2,0.001384633,0.000858985,0,0,87.1293254,-3,1,0.567232744,20.73530614,1628.371808,2.44103E-06,0.397281461,0.489439085,0.558663608,8.168456011
49011126306,Centerville,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,7641,0.195006748,0.16882607,0.105567987,0.012446519,0.020589279,0.061866526,0.004969826,0.028868969,0,0.276166623,0.107934943,0.004099481,0.091231807,0.03372382,0.062122826,0.296482412,0.15677241,20,-3.2,23,0.003882581,2,0.001384633,0.000858985,0,0,85.39572994,0,1,0.651974215,21.17746795,991.0404118,4.90633E-05,0.590825279,0.656274354,0.964499269,8.121166667
49011126600,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,5133,0.289606458,0.140853302,0.116854823,0.061466459,0.009350935,0.071724138,0.019251925,0.01182266,0,0.366305419,0.190661479,0.014705882,0.276677668,0.026952695,0.100660066,0.359726688,0.247573777,23.4,-5.8,22,0.003882581,2,0.001384633,0.000858985,0,0,80.87958317,-1,1,0.678206141,21.89510189,1459.151409,5.04144E-05,1.216870209,1.288730272,2.720650141,8.145663388
49011126700,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",1,4266,0.199023199,0.13689639,0.150323663,0.058002937,0.033125,0.127303183,0.0425,0.002166586,0.005625,0.505777564,0.215283484,0.034820991,0.37125,0.11625,0.155625,0.304674906,0.363941501,30,-6.4,21,0.003882581,2,0.001384633,0.000858985,0,0,80.44240366,-1,1,0.623960357,21.53906805,677.4052468,3.88889E-05,1.896202867,1.631567381,3.081136248,8.192919126
49011127004,Woods Cross,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,8368,0.107253565,0.068475143,0.077853635,0.067047076,0.024279835,0.094526769,0.007407407,0.046964627,0,0.130377629,0.138088012,0.045651233,0.12962963,0.012757202,0.047736626,0.205433746,0.221224099,26.4,-5.3,24,0.003882581,2,0.001384633,0.000858985,0,0,86.9959719,0,1,0.968937179,24.40630118,2257.970894,0.001431775,2.07697959,3.834599587,3.982721977,8.365515847
49011125600,Clearfield,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",1,282,0.575757576,0,0.153284672,0.278911565,0.185714286,0.124113475,0,0,0,0.691489362,0.811320755,0.054263566,0.428571429,0,0.085714286,0.12295082,0.551094891,49.2,-4.2,19,0.003882581,2,0.001384633,0.000858985,0,0,66.45540907,0,1,0.639348497,32.58976618,606.1226658,0,0.199937502,3.212875399,1.497552868,8.497476776
49011125502,Clearfield,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,5679,0.252285192,0.067441451,0.080613865,0.103673724,0.004935225,0.114835068,0.022208513,0.016023948,0,0.215706991,0.412244898,0.050082919,0.215916101,0.02344232,0.126465145,0.357116175,0.325937665,23.8,-3.6,24,0.003882581,2,0.001384633,0.000858985,0,0,71.90365554,-2,1,0.669496681,32.30410176,433.0431195,0,0.262228659,0.638991715,1.591490317,8.526947814
49011125503,Syracuse,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,5832,0.12970297,0.066872428,0.091127923,0.078964831,0.002737851,0.110900963,0.019164956,0,0.003422313,0.098765432,0.139810427,0.054873646,0.036960986,0.023956194,0.021218344,0.308519108,0.169753086,17.9,-1.9,25,0.003882581,2,0.001384633,0.000858985,0,0,66.91321024,-2,1,0.569284039,23.61015847,281.650633,201.6417456,0.154195138,0.767058881,0.952307441,8.488067486
49011125701,Clearfield,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",1,4145,0.431788079,0.128347407,0.237679048,0.085224839,0.036002939,0.08655706,0.011756062,0.035658915,0,0.763565891,0.642857143,0.020340847,0.138868479,0.10286554,0.151359295,0.23947203,0.565649225,29.1,-4.8,20,0.003882581,3,0.001384633,0.000858985,0,0,68.18213063,-1,1,0.683830211,37.45716157,1475.462231,0,0.264713287,2.961644741,1.337833483,8.515377869
49011125702,Clearfield,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,4129,0.280913978,0.076047469,0.175123153,0.108075041,0.00770416,0.156019656,0.021571649,0,0,0.339867679,0.359477124,0.05318258,0.55238829,0.103235747,0.157935285,0.236067059,0.306312945,28.3,-4.7,23,0.003882581,2,0.001384633,0.000858985,0,0,70.63885948,-3,1,0.724905665,30.51090547,2611.701609,0,0.340385144,1.278578998,1.585138855,8.529168852
49011127100,Kaysville,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,8057,0.160519126,0.151297009,0.101538077,0.024500721,0.026185958,0.051537408,0,0.019610277,0,0.224277026,0.161023947,0.041085067,0.203036053,0.030360531,0.05540797,0.333829217,0.226031667,23,-3.5,24,0.003882581,2,0.001384633,0.000858985,0,0,68.77878442,-3,1,0.573785706,22.4482757,741.5094538,0,0.081802709,0.270063202,0.083319808,8.262823497
49011126104,Kaysville,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,14217,0.105582524,0.047267356,0.053246114,0.014855688,0.004509922,0.019061687,0.004810583,0,0,0.021523528,0.058598302,0.019152542,0.017739026,0.009621167,0.008117859,0.431390977,0.052824084,19.2,-2.3,26,0.003882581,1,0.001384633,0.000858985,0,0,88.56596874,-2,1,0.487395231,22.95736173,311.2331355,0,0.090877062,0.882292304,0.103610983,8.357868579
49011126105,Kaysville,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6409,0.017972682,0.068341395,0.061425445,0.006504065,0.014204545,0.016851303,0,0,0,0.063816508,0.092270531,0.014661879,0.013068182,0.004545455,0.008522727,0.35125448,0.080181307,29.7,-3.5,25,0.003882581,2,0.001384633,0.000858985,0,0,80.55101115,-1,1,0.508905016,20.20894056,887.7637063,0,0.075608515,0.46874297,0.079435428,8.276568033
49011126203,Farmington,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,4317,0.038592509,0.108640259,0.054154995,0.007254677,0,0.032893213,0.010188088,0,0,0.153810517,0.126037736,0.032746823,0.021159875,0.007053292,0.015673981,0.367053621,0.065826331,20,-4,24,0.003882581,1,0.001384633,0.000858985,0,0,69.93084865,0,1,0.65879474,20.32496296,401.4221165,0,0.076931591,0.255078404,0.083617454,8.172002186
49011125906,Layton,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,7155,0.122109827,0.116422082,0.091823899,0.021451104,0.009745763,0.082040531,0,0.026936027,0.005508475,0.202300786,0.211697723,0.026247401,0.024152542,0.049152542,0.065254237,0.356305804,0.142697414,18.2,-3.3,24,0.003882581,2,0.001384633,0.000858985,0,0,80.61975007,-2,1,0.635952513,23.63038869,804.267832,0,0.110859741,0.70399159,0.11290642,8.350559836
49011126405,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,3904,0.028350515,0.106045082,0.094518443,0.019930676,0,0.021516393,0.005555556,0,0,0.038678279,0.018675722,0.007606491,0.05462963,0.024074074,0.024074074,0.207331042,0.057120902,35.1,-5.7,25,0.003882581,2,0.001384633,0.000858985,0,0,75.89188743,-1,1,0.64630279,21.31772077,12.16318078,0.00028143,0.759302859,1.832771737,2.203283706,8.346102732
49011126406,North Salt Lake,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,4034,0.188888889,0.117997025,0.106132666,0.054748603,0.010467551,0.07763355,0.007676204,0,0,0.409023302,0.380295567,0.015794224,0.274947662,0.030006978,0.079553385,0.260154739,0.283122048,33.4,-5.3,22,0.003882581,2,0.001384633,0.000858985,0,0,74.32464015,0,1,0.902981323,22.89577971,269.6581419,0.000910914,0.867847884,2.909028372,3.68241878,8.393945355
49011127002,North Salt Lake,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,8048,0.295250321,0.062997018,0.053677932,0.09238115,0,0.071570577,0.052467936,0.117296223,0,0.16500994,0.323576584,0.027902023,0.082782744,0.033424019,0.048970074,0.229527105,0.19110338,27.4,-6.1,23,0.874905372,2,0.001384633,0.000858985,0,0,95.23776791,0,1,0.973398463,24.44656899,3514.410249,0.004958608,0.660380364,4.230276366,5.195787618,8.481343169
49011125501,Clearfield,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6038,0.192504259,0.089930441,0.091333333,0.081583683,0.008752735,0.076526368,0.055798687,0.117422988,0,0.165120901,0.121979287,0.011171401,0.042669584,0.004923414,0.103391685,0.265911363,0.255848681,31.9,-2,24,0.003882581,2,0.001384633,0.000858985,0,0,69.59540274,0,0,0.628677634,24.91591489,230.0864418,0,0.18196533,0.447901588,0.913387743,8.507408743
49011125303,Clinton,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,11604,0.034872762,0.063857291,0.064905726,0.054020101,0.015682657,0.051896208,0.013837638,0,0,0.091050181,0.123450669,0.022649279,0.017835178,0.017835178,0.032902829,0.310932235,0.164624676,24.5,-1.8,26,0.003882581,2,0.001384633,0.000858985,0,0,86.34707653,0,1,0.573446577,24.03560139,206.1617656,9429.997386,0.130975083,0.159195781,0.215992138,8.48845765
49011125304,Clinton,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,5345,0.105555556,0.114125351,0.093873704,0.06027668,0.059300874,0.085864267,0,0.024134705,0,0.161646399,0.230724971,0.025830258,0.036828964,0.017478152,0.074282147,0.248463565,0.253950339,22.7,-3.3,24,0.003882581,2,0.001384633,0.000858985,0,0,65.63054208,-2,1,0.793169891,26.23561752,167.3240515,83.04739716,0.203670953,0.168022775,0.456178884,8.559265301
49011125305,Clinton,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6618,0.130757801,0.081142339,0.096530455,0.062139486,0.004764426,0.115343099,0.004764426,0,0,0.197340586,0.227250369,0.017606685,0.049232398,0,0.024880889,0.293461886,0.162737987,22.8,-2.6,25,0.003882581,2,0.001384633,0.000858985,0,0,73.07771622,-1,1,0.774437056,27.02043085,181.4603582,80.7136324,0.225103589,0.273756355,0.808073736,8.537347541
49011125808,Layton,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6374,0.500856164,0.084876059,0.104906391,0.05541103,0.036812009,0.098848369,0.009292352,0.033422671,0,0.586315624,0.209145427,0.0197404,0.012151537,0.025732666,0.077197999,0.245116919,0.258942703,24.5,-5.2,20,0.003882581,2,0.001384633,0.000858985,0,0,74.28064725,0,1,0.635079921,24.78410756,1318.88301,0,0.29711306,1.711309381,0.836105364,8.508527869
49011126500,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6114,0.138157895,0.182204776,0.112759144,0.017721519,0,0.022826452,0.014665942,0,0,0.054716348,0.074869414,0.027539342,0.432916893,0.060836502,0.109722977,0.364886731,0.078038092,51,-6.2,24,0.003882581,2,0.001384633,0.000858985,0,0,74.21190833,-2,1,0.556065349,20.34545371,46.43176574,6.97269E-05,0.982757777,0.653199757,2.166754455,8.092717213
49011126801,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,3287,0.107142857,0.170672346,0.09929296,0.015942029,0.030753968,0.019774871,0,0,0,0.035594767,0.028140704,0.019066404,0.178571429,0.041666667,0.057539683,0.380261248,0.085459576,18.2,-6.5,25,0.003882581,2,0.001384633,0.000858985,0,0,59.54989758,0,1,0.476299787,20.47938643,89.21888847,9.21788E-06,1.206278733,0.763481689,2.086344062,8.147286339
49011126901,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6360,0.296677215,0.108962264,0.117823818,0.015978695,0.00354139,0.133869442,0.018149624,0,0.00708278,0.421335017,0.200380771,0.014593909,0.366533865,0.016378929,0.057104914,0.147230822,0.28831251,26.2,-6.5,21,0.003882581,2,0.001384633,0.000858985,0,0,86.21372304,0,1,0.647786069,21.77212226,1409.742754,3.92326E-05,3.865707017,1.916809325,2.707951498,8.26392377
49011126404,North Salt Lake,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,7506,0.08003108,0.115774047,0.037513398,0.009395973,0.012552301,0.051045016,0,0,0,0.284572342,0.067377399,0.024067063,0.042677824,0.017991632,0.015481172,0.192263279,0.1254996,24.6,-6.3,24,0.874905372,1,0.001384633,0.000858985,0,0,85.86452934,0,1,0.660777612,22.53164309,2339.08378,0.001119858,0.396999161,2.914876712,3.365572231,8.372140164
49011126902,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,6898,0.240953947,0.132792114,0.114826221,0.060599025,0.025354534,0.060126118,0.020197679,0,0,0.297990908,0.251314406,0.002166847,0.363558229,0.037387194,0.097120756,0.288736591,0.17172606,23.9,-5.8,22,0.003882581,2,0.001384633,0.000858985,0,0,82.74378257,0,1,0.643229836,21.64875111,324.8930512,1.022E-06,1.674703867,1.867044558,2.586313903,8.285615847
49011126303,Centerville,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,4627,0.026548673,0.153447158,0.11908364,0.005948216,0.016800584,0.065485196,0,0,0,0.079749298,0.070041609,0.00979021,0.048210373,0.007304602,0.007304602,0.37439222,0.110438729,32.6,-2.5,26,0.003882581,2,0.001384633,0.000858985,0,0,62.41081126,0,1,0.332170797,20.11694571,821.7692592,2.34735E-06,0.15471443,0.161962235,0.221759276,8.010312842
49011126802,Bountiful,"Davis County, UT",49011,UT,49,Utah,36260,"Ogden-Clearfield, UT",0,4666,0.104097453,0.190741535,0.125483455,0.017218543,0,0.025139665,0,0,0,0.048864123,0.056748466,0.021245059,0.16089613,0.004752206,0.038696538,0.341310541,0.125375054,26,-5.8,24,0.003882581,2,0.001384633,0.000858985,0,0,70.39552372,0,1,0.477439934,20.26817401,116.60663,4.72845E-07,1.068994439,0.769186059,1.587318065,8.206290437
