State,Enacted Date,Technology Categories
SC,2007-06-07 00:00:00 UTC,bd
MA,2006-08-01 00:00:00 UTC,bd|e85
OR,2007-07-03 00:00:00 UTC,bd|e85
OR,2007-07-03 00:00:00 UTC,bd|e85|RD
OR,2007-07-03 00:00:00 UTC,bd|RD
OR,2007-07-03 00:00:00 UTC,bd|e85
OR,2007-05-07 00:00:00 UTC,IR|cng
OR,2005-12-15 00:00:00 UTC,OTHER
CO,2007-06-01 00:00:00 UTC,bd|e85
NY,2006-03-01 00:00:00 UTC,elec|elec
CA,2007-08-24 00:00:00 UTC,|IR|OTHER
CA,2007-10-14 00:00:00 UTC,|bd|e85|elec|hy|cng|elec|lpg
CA,2006-09-27 00:00:00 UTC,bd|e85|hy|cng
IL,2007-08-17 00:00:00 UTC,bd
IL,2007-08-23 00:00:00 UTC,bd|e85
IL,2007-01-12 00:00:00 UTC,bd|e85|elec
UT,2008-03-14 00:00:00 UTC,EFFEC|IR
VA,2008-03-08 00:00:00 UTC,bd|RD
VA,2008-03-05 00:00:00 UTC,bd|RD
KS,2007-04-13 00:00:00 UTC,e85
ME,2008-04-09 00:00:00 UTC,IR
MD,2007-04-24 00:00:00 UTC,OTHER
WA,2007-07-30 00:00:00 UTC,IR
NM,2007-04-03 00:00:00 UTC,IR|cng
HI,2008-01-28 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
HI,2007-06-08 00:00:00 UTC,IR
FL,2008-04-30 00:00:00 UTC,bd|e85|EFFEC
FL,2008-04-30 00:00:00 UTC,bd|e85
FL,2008-05-21 00:00:00 UTC,bd|e85
NE,2008-03-29 00:00:00 UTC,IR
MN,2008-05-23 00:00:00 UTC,NEVS
MN,2008-05-08 00:00:00 UTC,IR|cng
OK,2008-06-02 00:00:00 UTC,NEVS
DE,2005-04-15 00:00:00 UTC,IR
LA,2008-06-30 00:00:00 UTC,bd|EFFEC|cng|lpg
SC,2008-04-28 00:00:00 UTC,bd|e85|elec|hy|elec
SC,2008-02-01 00:00:00 UTC,IR
MA,2008-07-02 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
NH,2008-06-27 00:00:00 UTC,bd
WI,2008-04-01 00:00:00 UTC,lpg
PA,2008-10-09 00:00:00 UTC,IR
IL,2008-07-23 00:00:00 UTC,bd|e85
PA,2008-07-10 00:00:00 UTC,bd|e85
KY,2008-08-05 00:00:00 UTC,NEVS
CA,2008-08-01 00:00:00 UTC,cng
CA,2012-09-27 00:00:00 UTC,bd|e85|elec|EFFEC|elec|hy|cng|elec|lpg
PA,1998-12-04 00:00:00 UTC,OTHER
VA,2009-02-25 00:00:00 UTC,IR|cng
UT,2009-03-25 00:00:00 UTC,cng
GA,2009-04-29 00:00:00 UTC,e85
ID,2009-03-03 00:00:00 UTC,bd
SD,2009-03-12 00:00:00 UTC,bd
SD,2009-03-05 00:00:00 UTC,bd
IN,2009-05-12 00:00:00 UTC,elec|cng|elec
WA,2009-05-13 00:00:00 UTC,elec
WA,2009-05-13 00:00:00 UTC,elec|hy|elec
WA,2009-05-13 00:00:00 UTC,elec
WA,2009-05-13 00:00:00 UTC,elec
WA,2009-05-13 00:00:00 UTC,elec
AL,2009-01-01 00:00:00 UTC,bd|e85|elec|EFFEC|elec|hy|IR|cng|elec|lpg
ND,2009-04-22 00:00:00 UTC,bd|e85
FL,2009-06-10 00:00:00 UTC,bd|e85|hy
MT,2009-04-17 00:00:00 UTC,bd
AZ,2009-07-13 00:00:00 UTC,IR|cng
OK,2009-05-29 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
HI,2009-06-25 00:00:00 UTC,elec
HI,2009-06-25 00:00:00 UTC,bd|e85|elec|EFFEC|elec|hy|cng|elec|lpg
MN,2009-05-21 00:00:00 UTC,elec
TN,2009-06-25 00:00:00 UTC,bd|e85
CT,2009-07-02 00:00:00 UTC,hy
CT,2009-07-08 00:00:00 UTC,IR
CO,2009-06-04 00:00:00 UTC,elec
TX,2009-06-19 00:00:00 UTC,elec|hy|cng|elec|lpg
TX,2009-06-19 00:00:00 UTC,bd|e85|elec|cng|elec|lpg
DE,2009-07-08 00:00:00 UTC,IR
DE,2009-09-21 00:00:00 UTC,elec
NV,2009-05-06 00:00:00 UTC,elec|hy|cng|elec|lpg
NV,2009-06-04 00:00:00 UTC,bd
ME,2009-03-13 00:00:00 UTC,IR
ME,2009-06-08 00:00:00 UTC,bd
LA,2009-07-10 00:00:00 UTC,bd|e85|elec|elec
OR,2009-07-22 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
PA,2008-10-09 00:00:00 UTC,IR|cng
NC,2009-06-30 00:00:00 UTC,EFFEC
CA,2009-10-11 00:00:00 UTC,elec
CA,2009-10-11 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
IL,2009-08-24 00:00:00 UTC,NEVS
US,1993-08-03 00:00:00 UTC,|bd|e85|elec|hy|cng|NEVS|elec|lpg
US,2007-08-09 00:00:00 UTC,bd|e85|elec|EFFEC|elec|OTHER|elec
CA,2010-02-01 00:00:00 UTC,elec|cng|elec
CA,2010-03-15 00:00:00 UTC,elec|hy|NEVS|elec
WV,2010-04-02 00:00:00 UTC,IR
WV,2010-04-02 00:00:00 UTC,IR
UT,2010-03-26 00:00:00 UTC,|cng
VA,2010-04-13 00:00:00 UTC,bd|e85|hy|cng
VA,2010-04-13 00:00:00 UTC,bd|e85
RI,2005-07-19 00:00:00 UTC,NEVS
ID,1997-01-01 00:00:00 UTC,bd|hy|cng|lpg
KS,2007-01-01 00:00:00 UTC,bd|e85
MS,2009-08-26 00:00:00 UTC,bd|RD
MS,2009-01-26 00:00:00 UTC,e85
AL,2010-04-14 00:00:00 UTC,IR|cng
MD,2010-05-20 00:00:00 UTC,elec
MD,2010-05-20 00:00:00 UTC,elec
MD,2010-05-20 00:00:00 UTC,NEVS
AZ,2008-06-06 00:00:00 UTC,bd|e85
FL,2010-05-28 00:00:00 UTC,elec
FL,2010-06-03 00:00:00 UTC,bd
FL,2010-06-04 00:00:00 UTC,IR|cng
ME,2010-03-23 00:00:00 UTC,elec
AK,2010-06-17 00:00:00 UTC,EFFEC
HI,2010-06-30 00:00:00 UTC,elec
TN,2009-06-23 00:00:00 UTC,cng
TN,2009-06-25 00:00:00 UTC,bd|e85
US,2008-06-18 00:00:00 UTC,bd|e85
US,2008-06-18 00:00:00 UTC,bd|e85
US,2008-06-18 00:00:00 UTC,bd|e85
SC,2010-06-23 00:00:00 UTC,elec|hy|elec
SC,2010-04-15 00:00:00 UTC,bd|e85
SC,2010-06-14 00:00:00 UTC,hy
NH,2010-05-26 00:00:00 UTC,IR
CA,2010-03-24 00:00:00 UTC,elec|hy|OTHER|elec
CA,2010-09-27 00:00:00 UTC,elec
CA,2010-09-24 00:00:00 UTC,|OTHER
NY,2010-08-30 00:00:00 UTC,IR|cng
IL,2006-01-01 00:00:00 UTC,|bd|e85|elec|EFFEC|hy|IR|cng|elec|lpg
IL,2010-07-27 00:00:00 UTC,bd
IL,2010-07-27 00:00:00 UTC,e85|hy
WI,2010-05-20 00:00:00 UTC,bd|e85
WI,2010-05-20 00:00:00 UTC,bd|e85
